@old_etonians@	-organization=110 -location=2
@murau@	-location=34
@solnan@	-location=20
@werner_klemperer@	-person=73
@navalcarnero@	-location=18 -organization=3
@fiat_128@	-product=43
@district_of_celle@	-location=24
@national_order_of_merit_(france)@	-title=23
@agf@	-organization=142 -person=1
@ocean_city_high_school@	-organization=26
@henry_paget,_1st_marquess_of_anglesey@	-person=59
@virtue_party@	-organization=31
@sadie@	-person=21 -art=2
@i'm_eighteen@	-art=25
@sophie_solomon@	-person=20
@michael_gira@	-person=102
@anglo@	-location=175 -people-ethnicity=9 -language=6 -organization=1 -event=1
@william_j._jefferson@	-person=78
@lorenzo_costa@	-person=45
@romanian_orthodox@	-organization=167 -religion-religion=1
@reflections_in_a_golden_eye@	-art=29
@st._vincent's@	-organization=22 -location=3
@fr.@	-person=36 -title=7 -finance-currency=2 -location=2 -language=1
@republican_national_convention@	-event=876 -organization=1
@loughor@	-location=69 -organization=2
@sal_bando@	-person=64
@jesse_stuart@	-person=32
@fiction_family@	-person=19 -art=1
@bob_barr@	-person=101 -event=1
@sorhagenia_janiszewskae@	-living_thing=23
@twelfth_night_theatre@	-location=24
@battle_of_maldon@	-event=47
@osasuna@	-organization=185
@adrián_terrazas-gonzález@	-person=23
@bokaro@	-location=55 -organization=1
@back_to_the_future_part_iii@	-art=115 -product=5
@ambika@	-person=108 -god=4 -location=1
@haworth@	-location=133 -organization=10 -person=6
@bob_joles@	-person=28
@united_church_of_canada@	-religion-religion=406
@delamere_forest@	-location=53
@south_american_plate@	-location=91
@bosworth@	-location=35 -event=30 -person=5 -product=3
@henry_aldrich@	-person=33 -broadcast_program=5
@amaya@	-broadcast_program=28 -location=8 -product=1 -person=1
@bernd_rosemeyer@	-person=44
@the_list@	-art=74 -broadcast_program=1
@paul_tagliabue@	-person=95
@civil_engineering@	-organization=130
@karl_hartl@	-person=31
@jeong_hyeong-don@	-person=25
@ramón_martínez@	-person=39
@odyssey@	-art=1010 -person=31 -product=25 -broadcast_network=3 -organization=2
@marine_aircraft_group_26@	-organization=24
@november_9@	-time=246 -event=1
@conquest@	-event=144 -art=38 -location=4 -person=1 -product=1 -broadcast_program=1
@robert_anderson@	-person=88
@cazin@	-location=97 -person=1
@auchinleck@	-location=45 -person=15 -organization=2
@chancellor_of_the_exchequer@	-title=1310 -person=1
@nie_rongzhen@	-person=51
@psilocybe@	-living_thing=53
@villaviciosa@	-location=36 -event=3
@championships@	-event=51 -organization=30 -award=2
@blauer_portugieser@	-food=24
@that's_so_raven@	-broadcast_program=289 -art=2
@samokov@	-location=87 -language=5
@fcs@	-organization=48 -event=18
@district_of_sinanpaşa@	-location=34
@double_take@	-art=24 -broadcast_program=11 -person=1
@sm_aura_premier@	-location=22
@l'assomption@	-location=47 -living_thing=1
@jesus_college@	-organization=220 -location=1
@new_shoreham@	-location=108
@norm_chow@	-person=47
@bifidobacterium@	-living_thing=21
@monterey_peninsula@	-location=97
@council_of_british_international_schools@	-organization=20
@tom_and_jerry@	-broadcast_program=618 -art=3 -food=2 -person=1
@william_marsh_rice@	-person=29
@io@	-location=261 -computer-programming_language=11 -art=3 -person=2
@franco-siamese_war@	-event=24
@maestrazgo@	-location=25
@david_knight@	-person=22 -art=1
@onslaught@	-person=43 -product=3 -event=2
@route_105@	-location=63 -metropolitan_transit-transit_line=3
@superstition_mountains@	-location=46
@st_james's_hall@	-location=40
@206@	-product=21 -art=13 -location=8 -organization=6 -chemistry=1
@his_assassination@	-event=22 -person=1
@yorkshire_terrier@	-living_thing=92 -organization=7
@nuclear_blast_records@	-organization=25
@pol.@	-language=33 -person=1
@dio_chrysostom@	-person=49
@shenaz_treasurywala@	-person=21
@fastball@	-person=72
@fortune_teller@	-art=22 -product=1
@port_elizabeth@	-location=1124 -organization=1
@john_blake@	-person=39
@arafat@	-person=20 -location=6
@independencia@	-location=61 -product=7 -art=1
@gypsonoma_sociana@	-living_thing=27
@the_emotions@	-person=106
@royal_shakespeare_theatre@	-location=83 -organization=1
@soviet_navy@	-organization=736 -location=1
@california_energy_commission@	-organization=65
@super_league_xi@	-event=34
@izhar_cohen@	-person=30
@jake_in_progress@	-broadcast_program=35
@centralia@	-location=112 -event=1
@swimmer@	-event=893 -art=1
@sheffield,_alabama@	-location=52
@flashback@	-art=84 -product=16 -medicine-symptom=12 -broadcast_program=4 -organization=1 -location=1 -person=1
@alan_napier@	-person=90
@ms._foundation_for_women@	-organization=21
@old_town_chinatown@	-location=29
@obi@	-location=16 -organization=5 -person=2
@arthur_quiller-couch@	-person=69
@gas_street_basin@	-location=20
@jacques_santini@	-person=37
@battle_of_marks'_mills@	-event=22
@beaver_falls@	-location=69 -broadcast_program=19 -organization=1
@oceana@	-person=37 -organization=32 -location=30 -art=11 -product=8
@white_wizzard@	-person=20 -art=1
@arezzo@	-location=454
@bradley_stoke@	-location=27
@associates@	-person=41 -organization=4 -title=1 -living_thing=1
@maurice@	-person=370 -art=26 -location=18
@arlington,_texas@	-location=511
@odin@	-god=808 -product=11 -organization=1 -location=1 -art=1 -living_thing=1
@colón,_panama@	-location=100
@gete_wami@	-person=22
@moose@	-living_thing=172 -person=29 -location=14 -organization=3 -product=2 -art=1
@mafalda@	-art=26 -person=2
@knut_reiersrud@	-person=44
@the_demon_headmaster@	-broadcast_program=28 -art=11
@the_last_night_of_ballyhoo@	-art=28
@llanwern@	-location=54 -organization=6
@la_habana@	-location=14 -organization=9
@hugh_masekela@	-person=212
@garches@	-location=27
@tony_gonzález@	-person=22
@taylor_high_school@	-organization=20 -location=1
@orihuela@	-location=92 -organization=8
@atherstone@	-location=108 -organization=2
@unbroken@	-art=69 -person=21
@close_to_home@	-broadcast_program=119 -person=18 -art=4
@clarín@	-art=125 -award=5 -person=2 -organization=1
@quality_control@	-title=36 -art=13
@young_men_in_spats@	-art=25
@napoleon@	-person=3914 -location=65 -art=34 -product=9 -organization=7 -event=5 -broadcast_program=2 -food=1
@r.n.@	-organization=40 -title=6
@paternoster_row@	-location=55
@job@	-art=160 -person=61 -organization=6 -title=1 -location=1
@pepsi_center@	-location=179
@steve_inskeep@	-person=20
@bloodshot@	-organization=14 -art=4 -medicine-symptom=3
@the_diary_of_anne_frank@	-art=116 -person=1
@chuck@	-person=26 -computer-programming_language=25 -art=20 -food=4 -broadcast_program=1
@wftu@	-organization=54 -broadcast_network=1
@lakewood@	-location=314 -organization=14
@mayfield_heights,_ohio@	-location=20
@asakura@	-location=28
@middle_island@	-location=42
@pembrokeshire@	-location=1425 -title=1
@ephrem_the_syrian@	-person=82
@visby@	-location=214 -product=1
@javon_ringer@	-person=23
@royal_naval_college@	-organization=84 -location=22
@malcolm_nash@	-person=23
@clackamas@	-location=103 -language=6 -organization=1
@j._b._priestley@	-person=235
@thurgau@	-location=266
@st_machar's_cathedral@	-location=30
@310th_bombardment_wing@	-organization=29
@john_luke@	-person=22
@old_south_meeting_house@	-location=29
@oakville@	-location=297 -product=1
@viscount_falkland@	-title=16 -person=6
@in_the_beginning@	-art=42 -broadcast_program=5
@athabasca_oil_sands@	-location=59
@alfaro@	-location=18 -organization=3
@yo!_mtv_raps@	-broadcast_program=64
@rex_reed@	-person=107
@southeast_asia@	-location=4957 -event=7 -broadcast-tv_channel=2
@dublin_south@	-location=90 -event=3
@shorter@	-person=22 -art=7 -organization=3 -location=2
@the_chimes@	-art=23 -person=8 -location=1
@time_gentlemen_please@	-broadcast_program=44 -art=1
@blencathra@	-location=49 -product=1
@eustis@	-location=52 -person=2 -organization=1
@luzon_strait@	-location=102
@battle_of_spotsylvania_court_house@	-event=139
@bennett_lake@	-location=31
@matalan@	-organization=68
@king_jammy@	-person=33
@tristar_motorsports@	-organization=29
@the_bled@	-person=60
@billings@	-organization=25 -location=15 -person=4
@alo@	-person=19 -art=2
@abc_news@	-broadcast_network=68 -broadcast_program=2 -organization=2
@port_henry@	-location=20
@sophisticated_lady@	-art=80
@matthew_hale@	-person=43
@changping@	-location=23 -metropolitan_transit-transit_line=3 -event=3
@blackadder@	-broadcast_program=209 -product=8 -location=5 -art=1
@porte_de_vincennes@	-location=21
@howard_beach@	-location=35 -person=2
@chorale_roanne_basket@	-organization=34
@jim_davis@	-person=280 -organization=1
@gwynedd@	-location=1285 -organization=1
@sandro_gamba@	-person=22
@star_time@	-art=22 -broadcast_program=7
@akbar@	-person=963 -location=2
@dumbarton_f.c.@	-organization=30
@tbs@	-organization=585 -broadcast_network=443 -broadcast_program=102 -person=3 -product=1 -chemistry=1
@celebrity_squares@	-broadcast_program=29
@oswald_morris@	-person=24
@sony's@	-organization=16 -person=5
@the_battle_of_the_labyrinth@	-art=30
@craig_david@	-person=266 -broadcast_program=1
@university_of_massachusetts@	-organization=285
@in_the_hall_of_the_mountain_king@	-art=59
@military_sealift_command@	-organization=402
@corunna@	-location=108 -event=39 -product=2
@geronimo@	-person=291 -art=12 -location=9 -product=8
@haydn@	-person=395
@face_the_music@	-art=45 -broadcast_program=17
@gerber@	-organization=21 -location=3 -person=2
@kainan@	-location=20 -person=1
@bob_rogers_(designer)@	-person=30
@steve_martland@	-person=27
@university_of_cambridge@	-organization=4979 -location=3
@chief_justice_of_the_king's_bench@	-title=32
@bleach@	-art=489 -product=44 -person=35 -broadcast_program=16 -chemistry=4
@eastern_division@	-organization=30 -location=17 -event=5
@belém_do_pará@	-location=21
@dado_pršo@	-person=21
@radwan@	-person=26 -location=1
@we@	-art=55 -person=5 -organization=3 -living_thing=1
@badminton@	-event=37 -location=20 -art=2 -product=1 -organization=1
@jesse_applegate@	-person=21
@acari@	-living_thing=44 -location=2
@bobo@	-people-ethnicity=10 -person=7 -art=2 -location=1
@georgian@	-language=534 -people-ethnicity=354 -event=171 -location=32 -organization=10 -person=5 -art=2
@alcoa@	-organization=355 -location=28
@tonopah,_nevada@	-location=71
@garstang@	-location=77 -person=1
@tannoy@	-organization=22
@president_of_the_european_commission@	-title=210 -organization=1
@lisle@	-location=63 -person=4
@argos@	-location=641 -organization=156 -broadcast_network=4 -product=1
@taman_peninsula@	-location=52 -event=1
@kells,_county_meath@	-location=27
@north_west_mounted_police@	-art=30
@defuniak_springs@	-location=22
@behind_closed_doors@	-art=40 -broadcast_program=28
@ashbourne@	-location=147 -organization=1 -person=1
@dixie_stakes@	-event=24
@footscray_football_club@	-organization=23
@jonesborough@	-location=63 -event=4
@gertrude_stein@	-person=525 -art=1
@alianza@	-organization=123 -person=4 -art=1
@mateh_binyamin_regional_council@	-location=45
@joe_odagiri@	-person=48
@glengarry@	-location=55 -organization=4
@highway_19@	-location=26
@uzhhorod@	-location=176
@rufa_mae_quinto@	-person=72 -people-ethnicity=1
@geraldo_rivera@	-person=167 -broadcast_program=1
@dhulbahante@	-people-ethnicity=23
@greenbush@	-location=35 -metropolitan_transit-transit_line=1
@breguet@	-organization=48 -person=4 -product=2
@georgetown,_kentucky@	-location=143
@western_province@	-location=434 -organization=90
@global_language_monitor@	-organization=42
@nascar@	-organization=5580 -broadcast_program=11 -event=4
@reunited@	-art=19 -broadcast_program=7 -event=4 -location=1 -person=1
@notodden@	-location=156 -organization=52 -event=1
@abingdon@	-location=78 -organization=3 -title=1
@lionel_chetwynd@	-person=26
@tumen@	-organization=37 -location=13 -person=1
@ariana_afghan_airlines@	-organization=53
@edward_iii's@	-person=22
@chatrichalerm_yukol@	-person=35
@nolita@	-location=29 -art=1
@midland_league@	-organization=300
@lillie_glacier@	-location=24
@canajoharie@	-location=41
@tony_ayres@	-person=35
@wannon@	-location=25
@francis_garnier@	-person=36 -product=4
@richard_murdoch@	-person=42
@thomas_blount@	-person=21
@chrysler_cordoba@	-product=24
@trouble_in_paradise@	-art=28 -broadcast_program=4
@utsunomiya@	-location=59 -metropolitan_transit-transit_line=1
@liberal-labour@	-organization=45
@ukrainian_second_league@	-organization=177 -event=1
@statesman@	-title=191 -art=23 -product=12 -person=1
@running@	-art=33 -event=3 -organization=1
@tucano@	-product=8 -language=6 -people-ethnicity=6 -location=1
@dean_of_exeter@	-title=85 -location=2
@brasileirão@	-organization=49 -event=7
@mirai_sentai_timeranger@	-broadcast_program=59
@rodger_corser@	-person=34
@pat_alger@	-person=51
@1943@	-event=195 -art=7
@the_mystery_of_edwin_drood@	-art=47 -broadcast_program=3
@john_kay@	-person=180
@dead_silence@	-art=44 -broadcast_program=4
@meistriliiga@	-organization=310 -event=2
@fox_sports_north@	-broadcast-tv_channel=33
@bardi@	-location=17 -language=4 -people-ethnicity=4
@anuvahood@	-art=21
@matthew_murray@	-person=36 -event=2
@pest,_hungary@	-location=24
@šokci@	-people-ethnicity=50
@cho_oyu@	-location=166
@perfect_day@	-art=21
@i_finally_found_someone@	-art=22
@tura_river@	-location=21
@blue_island@	-location=51 -art=3
@parkside@	-location=40 -organization=2
@paul_lévy@	-person=28
@ufa@	-location=387 -organization=210
@cabinet_minister@	-title=79 -organization=63
@hilversum@	-location=478 -event=3 -person=1
@nakamichi@	-organization=23 -location=6
@longstreet@	-person=19 -art=1
@ralph_manheim@	-person=44
@biała_piska@	-location=65
@alma_pirata@	-broadcast_program=20
@florida_keys_national_marine_sanctuary@	-location=53
@phlox_family@	-living_thing=142
@caroline_gillmer@	-person=31
@ed_barrow@	-person=44
@greg_rucka@	-person=162
@indiana_county@	-location=122
@cone@	-living_thing=13 -person=4 -food=3 -location=1
@area_code_623@	-location=30
@rockie_fresh@	-person=33
@aria_awards@	-award=37 -organization=3
@vreme@	-art=23 -location=1
@lake_charles,_louisiana@	-location=295
@eddie@	-person=68 -art=35
@germinal@	-art=59
@flushing_meadows–corona_park@	-location=32
@city_of_cockburn@	-location=38
@anthony_zerbe@	-person=58
@earl_of_bath@	-title=33 -person=4
@great_fire@	-event=91 -location=1
@perth_railway_station@	-location=84
@fallujah@	-location=386 -event=4
@billy_graham_evangelistic_association@	-organization=50
@nz@	-location=294 -organization=5 -language=4 -finance-currency=2
@daryle_ward@	-person=35
@shirley_grey@	-person=20
@un@	-organization=772 -art=3 -person=3 -location=2
@h2@	-broadcast_program=11 -product=5 -broadcast_network=3 -metropolitan_transit-transit_line=1 -chemistry=1
@malko_tarnovo@	-location=29
@ostrobothnia@	-location=182 -language=1
@moldavian_democratic_republic@	-location=68
@hm_the_queen@	-person=33 -title=2
@chris_kaman@	-person=33
@jefferson_county,_wisconsin@	-location=30
@jean-paul_civeyrac@	-person=31
@andrew_ellicott@	-person=46
@kalem_company@	-organization=40
@split_second@	-broadcast_program=32 -art=21
@tanzania@	-location=10360 -organization=98 -living_thing=3 -event=1
@city_councillor@	-organization=42 -title=3 -location=2
@spiro@	-location=21 -person=2
@gmina_gołuchów@	-location=22
@tullaroan@	-organization=55 -location=21
@time_bandits@	-art=83 -person=4
@cyanide@	-chemistry=38 -art=5 -person=2
@jade_bight@	-location=31
@tiger@	-living_thing=302 -person=41 -art=18 -location=14 -product=12 -organization=11 -event=1 -broadcast_program=1
@gifford_pinchot_national_forest@	-location=96
@lawlor_events_center@	-location=20
@gina_birch@	-person=23
@marshall_islands@	-location=1640 -event=5
@khartoum_north@	-location=22
@gangster_squad@	-art=51 -organization=2
@don't_speak@	-art=69
@cal_tjader@	-person=157
@bexleyheath@	-location=161 -location=1 -organization=1
@dj_maj@	-person=21
@la_weekly@	-art=476 -award=6
@governor_of_maine@	-title=274 -event=1
@becky_hammon@	-person=51
@robyn_williams@	-person=21
@confessions_of_an_english_opium-eater@	-art=33
@merv_griffin@	-person=251 -broadcast_program=6
@grand_prix_d'ouverture_la_marseillaise@	-event=78
@shlomi@	-location=20
@democratic_union@	-organization=63 -event=1
@suwon@	-location=276 -organization=9
@joel_lamangan@	-person=60 -broadcast_program=3
@epping@	-location=174 -organization=5 -metropolitan_transit-transit_line=1
@yulin@	-location=100
@london_mathematical_society@	-organization=223
@tō-ji@	-location=36
@u.s._route_136@	-location=50
@demons@	-art=39 -broadcast_program=23 -organization=6 -god=1
@allegheny@	-location=221 -organization=34 -product=2 -art=1
@jab_we_met@	-art=68
@john_lyons@	-person=38
@swaziland@	-location=1773 -organization=35
@ashikaga_yoshinori@	-person=47
@kabaw_valley@	-location=20
@tommy_chong@	-person=139
@bethany_dillon@	-person=33 -art=2
@laleh@	-person=32 -art=2
@danny_castillo@	-person=29
@department_of_social_welfare_and_development@	-organization=23
@in_the_zone@	-art=71 -person=1
@jeremy_deller@	-person=54
@.@	-location=6 -organization=5 -art=5 -person=5 -god=3 -event=2 -broadcast_network=1 -broadcast_program=1 -living_thing=1
@nokia_n8@	-product=28
@umbertide@	-location=22
@david_beatty@	-person=90 -title=2
@wilf_kirkham@	-person=33
@stewart_edward_white@	-person=27
@ashley_jensen@	-person=83
@stuka,_jr.@	-person=85
@eggs_benedict@	-food=26
@northern_michigan@	-location=149 -organization=33
@ox@	-living_thing=44 -person=15 -art=1 -location=1
@minneapolis_city_hall@	-location=25
@fundulidae@	-living_thing=21
@mariana_islands@	-location=740 -event=4
@khmelnytskyi@	-location=95
@four_brothers@	-art=50 -person=2 -organization=2
@werner_von_siemens@	-person=55
@port_royal@	-location=323 -event=10 -art=2
@buachaille_etive_mòr@	-location=21
@xavier_marshall@	-person=20
@caliph@	-title=893 -location=7 -person=1
@dharmawangsa@	-person=22
@american_president@	-title=51 -person=1
@new@	-art=59 -location=25 -organization=12 -broadcast_network=6 -product=2 -event=1 -broadcast_program=1 -language=1 -living_thing=1
@downtown_st._louis@	-location=47
@kannathil_muthamittal@	-art=56
@wurlitzer@	-organization=402 -person=2 -product=2
@the_chaser@	-organization=85 -art=45 -broadcast_program=29
@hungarian-language@	-language=21
@mogilno@	-location=142
@international_theatre_institute@	-organization=28
@eric_gale@	-person=115
@istván_kertész@	-person=35
@alfred_north_whitehead@	-person=252
@banka@	-location=38 -language=2 -person=2
@kaplan,_inc.@	-person=45
@sears_holdings@	-organization=22
@barfleur@	-location=80 -product=12 -event=2
@harold@	-person=91 -art=10 -location=1
@anglo-indian@	-people-ethnicity=272 -location=1
@waiuku@	-location=39
@norwest@	-organization=22 -location=2
@a_confederacy_of_dunces@	-art=72
@annabella@	-person=40 -location=1
@show@	-broadcast_program=25 -art=13 -event=5 -person=3
@arne@	-location=14 -person=12
@(_)@	-art=21
@ares@	-god=381 -art=15 -product=6 -location=5 -person=4 -organization=1
@emirate_of_bukhara@	-location=57
@henrietta_swan_leavitt@	-person=30
@queen_mary_stakes@	-event=39
@theodore_gill@	-person=25
@tom_bergeron@	-person=95
@sprint@	-event=94 -organization=70 -product=9
@nostromo@	-art=23 -broadcast_program=3
@st._louis_eagles@	-organization=70
@syed_kirmani@	-person=30
@west_bromwich_albion_f.c.@	-organization=73
@sex_and_the_city@	-broadcast_program=867 -art=63
@yea@	-location=32 -organization=3
@julian@	-person=139 -location=9 -organization=2
@ibrahima_sonko@	-person=20
@miniseries@	-broadcast_program=31 -art=4
@fjarðabyggð@	-location=16 -organization=11
@robert_black@	-person=37
@total_nonstop_action_wrestling@	-person=1266
@smap×smap@	-broadcast_program=19 -person=1
@cheney@	-location=43 -person=34
@crouching_tiger,_hidden_dragon@	-art=238 -product=1
@robbie_farah@	-person=48
@new_york_knickerbockers@	-organization=45
@waldheim@	-location=36 -person=1
@tobacco_road@	-art=61 -location=2
@andrei_gromyko@	-person=138
@sub_pop_records@	-organization=24
@peabody_museum@	-location=67 -person=1
@unearthed@	-art=31
@maniac@	-art=76 -person=7 -product=1 -title=1 -medicine-symptom=1
@you_are_there@	-broadcast_program=47 -art=2
@gavin_smith@	-person=25
@jon_daly@	-person=42
@downtown_ottawa@	-location=28
@miami-dade_county@	-location=403 -organization=1
@wagner@	-person=848 -broadcast_program=20 -organization=14 -location=9
@jay_park@	-person=85
@broadmeadow@	-location=76
@sisters,_servants_of_the_immaculate_heart_of_mary@	-organization=37
@nordair@	-organization=21
@wellsford@	-location=28
@françois_barbé-marbois@	-person=20
@operation_compass@	-event=126
@mildred_harris@	-person=86
@fahrenheit@	-person=123 -product=23 -art=13 -location=5
@onslow_stevens@	-person=56
@abc_studios@	-organization=199 -broadcast_network=5
@award@	-title=71 -award=30 -organization=6 -person=3
@south_gate@	-location=65 -organization=1
@william_thomas@	-person=58
@49@	-location=29 -metropolitan_transit-transit_line=8 -art=7 -event=2 -organization=2 -product=1
@omaha_bee@	-art=21
@torture_garden@	-art=31
@bob@	-person=181 -broadcast_program=25 -finance-currency=6 -event=2 -organization=2 -art=1 -location=1
@åtvidabergs_ff@	-organization=105
@the_roar_of_the_greasepaint_–_the_smell_of_the_crowd@	-art=23
@seoul_subway_line_6@	-metropolitan_transit-transit_line=30
@americanese@	-art=21
@neon_hitch@	-person=38
@entlebuch@	-location=25
@kalimantan@	-location=462
@enna@	-location=110 -person=1
@dj_magazine@	-art=114
@kerem_shalom@	-location=22
@fort_hall@	-location=84
@murong_bao@	-person=40
@tough_guys@	-art=28
@lee_carsley@	-person=25
@john_money@	-person=62
@sealand@	-location=34 -organization=2
@castlederg@	-location=59
@kansai@	-location=52 -organization=1 -event=1
@henryk_grossman@	-person=21
@hadiya@	-location=21 -person=1
@pépé_le_moko@	-art=21
@george_dzundza@	-person=65
@margraviate_of_moravia@	-location=29
@michael_dempsey@	-person=47
@chick_gandil@	-person=26
@kampinos_forest@	-location=27
@public_citizen@	-organization=119
@liberty_professionals@	-organization=24
@orkhon_river@	-location=23
@cymbeline@	-art=248
@adb@	-organization=26 -art=8 -living_thing=1
@mott_the_hoople@	-person=259 -art=10
@metro_atlantic_athletic_conference@	-organization=266
@hedon@	-location=49 -art=1
@ards@	-organization=98 -location=6
@arthur_malet@	-person=20
@kuantan@	-location=268 -event=1
@hasekura_tsunenaga@	-person=61
@hida@	-location=38 -person=2
@afro_samurai@	-broadcast_program=44 -product=12
@pixies@	-person=540 -art=4
@hoxton_square@	-location=45
@yad_mordechai@	-location=32 -event=2
@glenn_healy@	-person=26
@university_of_maryland@	-organization=1210 -location=2
@charlie_keller@	-person=29
@joseph-alfred_mousseau@	-person=29
@juan_aldama@	-person=23 -location=7
@jubilee@	-art=41 -metropolitan_transit-transit_line=18 -organization=16 -person=10 -event=7 -location=2
@carlow@	-location=348 -organization=202
@viborg@	-location=159 -organization=20 -event=1
@whatcom_county@	-location=46
@american_version@	-broadcast_program=40 -art=1
@vladimir_kryuchkov@	-person=33
@austin_film_festival@	-event=174
@bonaire@	-location=352 -organization=2
@aethes_rutilana@	-living_thing=27
@melina@	-person=73 -location=1
@nicolai_ouroussoff@	-person=22
@kalkar@	-location=33
@estrellita@	-person=32 -art=2
@mazar@	-location=56 -person=2 -event=1
@norwegian_language@	-language=196
@national_amusements@	-organization=52
@miracles@	-broadcast_program=42 -art=40 -person=27 -event=14
@cædmon@	-person=21
@nicole_gibbs@	-person=28
@hurricane_allen@	-event=35
@cloyne@	-location=93 -organization=26
@serbs_of_croatia@	-people-ethnicity=28
@lake_george@	-location=137 -event=1
@reno_county,_kansas@	-location=24
@shi_jingtang@	-person=98
@filmfare_award@	-award=30 -event=2
@monteverdi@	-person=153 -organization=4
@kuria@	-location=14 -language=7 -people-ethnicity=1
@bus_stop@	-art=124 -broadcast_program=47
@terror_of_mechagodzilla@	-art=30
@alka_yagnik@	-person=283
@montenegrins@	-people-ethnicity=40 -location=9 -organization=2
@horton_hears_a_who!@	-art=95 -broadcast_program=21
@p4@	-organization=11 -product=7 -location=3 -art=1
@cd_guijuelo@	-organization=37
@george_sotiropoulos@	-person=35
@great_national_assembly@	-organization=55 -event=1
@palmerston@	-location=166 -person=31 -organization=2 -product=1
@kalush@	-location=39
@albert,_prince_consort@	-person=73
@bet@	-broadcast_network=63 -organization=9 -location=1
@dave_appell@	-person=21
@after_earth@	-art=34
@winchelsea@	-location=206 -product=2
@jim_valentino@	-person=58
@los_angeles_1984@	-event=39
@budleigh_salterton@	-location=78 -organization=1
@basel@	-location=2637 -organization=158 -event=5
@harriet@	-person=30 -location=3 -organization=1
@lee_byung-hun@	-person=104
@tonga_national_rugby_league_team@	-organization=24
@osvaldo_alonso@	-person=22
@vinu_chakravarthy@	-person=79
@enzo_g._castellari@	-person=61
@manila_galleon@	-product=59
@rawicz@	-location=155 -person=1
@south_eastern_railway@	-organization=49 -transit=35 -location=4
@william_paulet,_1st_marquess_of_winchester@	-person=33
@yarra@	-location=43 -product=5
@harmon_caldwell_drew@	-person=22
@ken_bruce@	-person=117
@jelena_janković@	-person=688
@karviná@	-location=78 -organization=3
@łódź_army@	-organization=34
@gabriel_heinze@	-person=52
@crossing_delancey@	-art=37
@chavín_de_huantar@	-location=25
@chaumont@	-location=81 -organization=3
@sts-54@	-event=35
@clemson,_south_carolina@	-location=99
@the_jungle_book@	-art=429 -product=4 -broadcast_program=3
@hephaestus@	-god=278 -art=2 -location=1
@a_town_called_panic@	-broadcast_program=14 -art=9
@mladenovac@	-location=50 -organization=5
@shinji_imaoka@	-person=22
@irish_georgian_society@	-organization=23
@baptist@	-religion-religion=267 -organization=9 -person=6 -location=2
@north-american_interfraternity_conference@	-organization=99
@bankstown@	-location=55 -metropolitan_transit-transit_line=4
@motilal_banarsidass@	-organization=39
@palestine_police_force@	-organization=28
@valentín_gómez_farías@	-person=44 -location=1
@nisyros@	-location=32
@cyclophora_linearia@	-living_thing=36
@taj_mahal@	-location=503 -person=404 -art=17 -product=1
@14@	-location=52 -event=22 -metropolitan_transit-transit_line=21 -time=15 -art=10 -organization=8 -product=7 -biology=1
@antarctic@	-location=1038 -living_thing=1 -event=1
@mexicali@	-location=337
@kgb@	-organization=1827 -product=1
@john_bradley@	-person=29 -organization=1
@cbc_sports@	-organization=91 -broadcast_network=4 -broadcast_program=1
@jack_trudeau@	-person=29
@gil_meche@	-person=27
@guelma_province@	-location=39
@hayabusa@	-event=46 -person=27 -metropolitan_transit-transit_line=18 -product=2
@ambergate@	-location=47
@larrea_tridentata@	-living_thing=37
@giorgio_armani@	-person=282 -organization=12
@samantha@	-person=19 -art=12 -broadcast_program=9
@the_united_states_of_america@	-person=19 -location=13 -art=3
@mormons@	-religion-religion=376 -organization=26 -living_thing=2 -person=1
@coosa_river@	-location=110
@state_route_93@	-location=31
@adam_johnson@	-person=69
@the_red_hot_chili_peppers@	-art=26 -person=17
@beriev_a-50@	-product=21
@john_m._parker@	-person=31
@alaska_pollock@	-living_thing=31
@neotelphusa_sequax@	-living_thing=21
@bbc_northern_ireland@	-person=218
@melton@	-location=134 -organization=1
@birinci_lig@	-organization=29
@roger_murrah@	-person=105
@johan_botha@	-person=31
@saw_vi@	-art=63
@ralph_earl@	-person=21
@elkins@	-location=81 -person=3 -organization=1
@baku_yumemakura@	-person=35
@debub@	-location=24
@christian_panucci@	-person=41
@mohamed_massaquoi@	-person=23
@marquess_of_waterford@	-title=27 -person=1
@anthony_braxton@	-person=331 -art=3
@angel_and_the_badman@	-art=25
@i_love_you@	-art=127 -product=1
@khara-khoto@	-location=20
@alex_sánchez@	-person=26
@gharyan@	-location=33
@the_novel_of_the_same_name@	-art=75 -person=1
@korngold@	-person=31 -art=1
@walter_lantz_productions@	-organization=158 -person=1
@camden@	-location=1433 -person=24 -event=20 -organization=14 -product=4 -metropolitan_transit-transit_line=3
@the_political_graveyard@	-internet-website=506
@samlesbury@	-location=31
@north_augusta@	-location=32
@djibouti@	-location=1277 -organization=14
@wild_mountain_thyme@	-art=25
@albemarle_county,_virginia@	-location=173
@charles_brooke@	-person=20
@jessicah_schipper@	-person=38
@jessie_mae_hemphill@	-person=21
@hokkien@	-language=52 -people-ethnicity=34 -location=6
@deportivo_maipú@	-organization=27
@ecopetrol@	-organization=21
@nick_menza@	-person=43
@dierdorf@	-location=38
@fandango@	-organization=26 -person=23 -broadcast_program=2 -art=1
@fleury@	-location=29 -person=10
@ashville@	-location=26 -organization=1
@don_quixote@	-art=222 -organization=1 -broadcast_program=1
